Name;URL;Author;Price;Number of Ratings;Average Rating
400 Days;https://www.amazon.in/400-Days-Chetan-Bhagat/dp/1542094089/ref=zg_bs_books_1/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Chetan Bhagat;₹199.00;not_available;not_available
The Psychology of Money;https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_2/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Morgan Housel;₹277.00;17,798;4.6 out of 5 stars
My First Library: Boxset of 10 Board Books for Kids;https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_3/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Wonder House Books;₹389.00;37,236;4.5 out of 5 stars
Educart TERM 1 MCQ Question Bank Class 10 Bundle 2022 - Maths, Science, English & SST Books (Based on New MCQs Type Introduced in 2nd Sep 2021 CBSE Sample Paper);https://www.amazon.in/Educart-TERM-Question-Class-Bundle/dp/B09C3F3XY5/ref=zg_bs_books_4/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Educart;₹499.00;373;4.1 out of 5 stars
Ikigai: The Japanese secret to a long and happy life;https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_5/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Héctor García;₹318.00;23,595;4.6 out of 5 stars
Atomic Habits: The life-changing million copy bestseller;https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_6/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;James Clear;₹452.00;25,742;4.6 out of 5 stars
Spoken English Course (Telugu);https://www.amazon.in/Spoken-English-Course-Telugu-Vashista/dp/B08W1SNNLP/ref=zg_bs_books_7/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹283.00;3,352;4.3 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!;https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194/ref=zg_bs_books_8/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Robert T. Kiyosaki;₹305.00;47,798;4.6 out of 5 stars
Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10 (Set of 3 Books) Mathematics (Standard), Science, Social Science (For 2021-22 Exam);https://www.amazon.in/Chapterwise-Mathematics-Standard-Science-2021-22/dp/9354239552/ref=zg_bs_books_9/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Oswaal Editorial Board;₹424.00;242;4.2 out of 5 stars
Word Power Made Easy;https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_10/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Norman Lewis;₹99.00;28,779;4.4 out of 5 stars
The Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_11/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Paulo Coelho;₹196.00;65,180;4.6 out of 5 stars
Oswaal CBSE MCQs Chapterwise Question Bank For Term I & II, Class 10, English Language & Literature (With the largest MCQ Question Pool for 2021-22 Exam);https://www.amazon.in/Chapterwise-Question-English-Language-Literature/dp/9354636055/ref=zg_bs_books_12/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Oswaal Editorial Board;₹125.00;105;4.2 out of 5 stars
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set;https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_books_13/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹299.00;12,916;4.5 out of 5 stars
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing);https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_books_14/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Wonder House Books;₹89.00;11,430;4.4 out of 5 stars
Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty;https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_15/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹185.00;9,764;4.6 out of 5 stars
Educart CBSE Term 1 Sample Papers Class 10 Bundle of Science, Math Standard, Social Science & English Books For 2022 (Based on 2nd Sep CBSE MCQ Sample Paper 2021) (Edubook + Shubham Pathak);https://www.amazon.in/Educart-Science-Standard-English-Edubook/dp/B09FQBLCRX/ref=zg_bs_books_16/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹489.00;17;4.7 out of 5 stars
CBSE New Pattern English Core Class 12 for 2021-22 Exam (MCQs based book for Term 1);https://www.amazon.in/Pattern-English-Class-2021-22-based/dp/932579327X/ref=zg_bs_books_17/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹88.00;44;4.4 out of 5 stars
Quantitative Aptitude for Competitive Examinations;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026/ref=zg_bs_books_18/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;R S Aggarwal;₹465.00;18,932;4.4 out of 5 stars
|Indian Polity - For Civil Services and Other State Examinations || 6th Edition|;https://www.amazon.in/Indian-Polity-Civil-Services-Examinations/dp/B07Y3CJJCR/ref=zg_bs_books_19/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;M. Laxmikanth;₹641.00;16,193;4.6 out of 5 stars
