Name;URL;Author;Price;Number of Ratings;Average Rating
CBSE New Pattern Chemistry Class 12 for 2021-22 Exam (MCQs based book for Term 1);https://www.amazon.in/Pattern-Chemistry-Class-2021-22-based/dp/9325793237/ref=zg_bs_books_37/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹100.00;42;4.5 out of 5 stars
|Moral Story Books for Kids (Pack of 10 Books) || 160 Total Pages || Illustrated Stories|;https://www.amazon.in/Moral-Story-Books-Illustrated-Stories/dp/9381569886/ref=zg_bs_books_38/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹225.00;2,286;4.3 out of 5 stars
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life;https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_39/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Gaur Gopal Das;₹164.00;11,613;4.6 out of 5 stars
Educart CBSE Term 1 MATHS STANDARD Sample Papers Class 10 MCQ Book For 2022 (Based on 2nd Sep CBSE Sample Paper 2021);https://www.amazon.in/Educart-MATHS-STANDARD-Sample-Papers/dp/9391401996/ref=zg_bs_books_40/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹130.00;38;5.0 out of 5 stars
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology;https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-NEET-AIIMS/dp/9389971241/ref=zg_bs_books_41/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹547.00;5,065;4.6 out of 5 stars
Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10);https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_books_42/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Wonder House Books;₹159.00;5,952;4.3 out of 5 stars
As a Man Thinketh;https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_books_43/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;James Allen;₹59.00;4,687;4.4 out of 5 stars
CBSE New Pattern Science Class 10 for 2021-22 Exam (MCQs based book for Term 1);https://www.amazon.in/Pattern-Science-Class-2021-22-based/dp/9325793172/ref=zg_bs_books_44/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;not_available;₹88.00;38;4.7 out of 5 stars
101 Panchatantra Stories for Children: Colourful Illustrated Stories;https://www.amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=zg_bs_books_45/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Om Books Editorial Team;₹135.00;4,032;4.5 out of 5 stars
Attitude Is Everything: Change Your Attitude ... Change Your Life!;https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=zg_bs_books_46/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Jeff Keller;₹144.00;13,298;4.5 out of 5 stars
Diamonds in the Dust: Consistent Compounding for Extraordinary Wealth Creation;https://www.amazon.in/Diamonds-Dust-Consistent-Compounding-Extraordinary/dp/0670095303/ref=zg_bs_books_47/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Saurabh Mukherjea;₹476.00;218;4.4 out of 5 stars
The Everyday Hero Manifesto;https://www.amazon.in/Everyday-Hero-Manifesto-Robin-Sharma/dp/9391019749/ref=zg_bs_books_48/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Robin Sharma;₹292.00;40;4.6 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_books_49/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Mark Manson;₹319.00;52,833;4.5 out of 5 stars
Sapiens: A Brief History of Humankind;https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_books_50/262-9155916-2851647?_encoding=UTF8&psc=1&refRID=Y8JWMQYA6T0CNMPFHD2A;Yuval Noah Harari;₹298.00;38,101;4.7 out of 5 stars
A Brief History of Modern India - 2020-21/edition;https://www.amazon.in/Brief-History-Modern-India-2020-21/dp/817930759X/ref=zg_bs_books_51/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Rajiv Ahir;₹236.00;2,183;4.5 out of 5 stars
The Psychology of Money – Deluxe Edition;https://www.amazon.in/Psychology-Money-Deluxe-Morgan-Housel/dp/9390166934/ref=zg_bs_books_52/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Morgan Housel;₹305.00;17,798;4.6 out of 5 stars
CBSE MCQ Bank Science Class 10 Term 1;https://www.amazon.in/CBSE-Bank-Science-Class-Term/dp/938484361X/ref=zg_bs_books_53/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹360.00;18;4.4 out of 5 stars
Picture Books Collection for Early Learning (Set of 12);https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P/ref=zg_bs_books_54/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P&smid=A3AYVXJSQ9BMLM;not_available;₹230.00;11,105;4.2 out of 5 stars
