Name;URL;Author;Price;Number of Ratings;Average Rating;Type
Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23;https://www.amazon.in/Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_22/261-4869405-0058465?pd_rd_i=B09SJ365JL&psc=1;R.D. Sharma;₹575.00;148;4.3 out of 5 stars;Paperback
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_books_23/261-4869405-0058465?pd_rd_i=8194790891&psc=1;Dale Carnegie;₹109.00;65,237;4.5 out of 5 stars;Paperback
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids;https://www.amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_books_24/261-4869405-0058465?pd_rd_i=9389432006&psc=1;not_available;₹499.00;3,803;4.4 out of 5 stars;Paperback
The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series);https://www.amazon.in/Courage-Disliked-Ichiro-Kishimi-Fumitake/dp/1760630721/ref=zg_bs_books_25/261-4869405-0058465?pd_rd_i=1760630721&psc=1;not_available;₹352.00;2,754;4.5 out of 5 stars;Hardcover
108 Panchatantra Stories (Illustrated) for children;https://www.amazon.in/108-Panchatantra-Stories-Illustrated-children/dp/9390292921/ref=zg_bs_books_26/261-4869405-0058465?pd_rd_i=9390292921&psc=1;Maple Press;₹99.00;1,347;4.4 out of 5 stars;Paperback
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness;https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_books_27/261-4869405-0058465?pd_rd_i=9354893899&psc=1;Eric Jorgenson;₹233.00;4,975;4.7 out of 5 stars;Paperback
Picture Books Collection for Early Learning (Set of 12);https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P/ref=zg_bs_books_28/261-4869405-0058465?pd_rd_i=B01M0QGF0P&psc=1;not_available;₹230.00;14,899;4.3 out of 5 stars;Cards
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living;https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_29/261-4869405-0058465?pd_rd_i=0143442295&psc=1;Gaur Gopal Das;₹221.00;15,130;4.6 out of 5 stars;Paperback
Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi;https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=zg_bs_books_30/261-4869405-0058465?pd_rd_i=8186775218&psc=1;Robert T. Kiyosaki;₹208.00;10,508;4.5 out of 5 stars;Paperback
To Nature, with love -The Times Evoke Collection;https://www.amazon.in/Nature-love-Times-Evoke-Collection/dp/B09TZTGKDM/ref=zg_bs_books_1/257-3061504-2889532?pd_rd_i=B09TZTGKDM&psc=1;not_available;₹999.00;18;4.8 out of 5 stars;Hardcover
Think & Grow Rich (Hindi);https://www.amazon.in/Think-Grow-Rich-Hindi-Napoleon/dp/8175993561/ref=zg_bs_books_2/257-3061504-2889532?pd_rd_i=8175993561&psc=1;Napoleon Hill;₹99.00;4,326;4.3 out of 5 stars;Paperback
Dr. Omendra Ratnu;https://www.amazon.in/MAHARANAS-Thousand-Year-War-Dharma/dp/9355211643/ref=zg_bs_books_3/257-3061504-2889532?pd_rd_i=9355211643&psc=1;not_available;₹309.00;Dr. Omendra Ratnu;not_available;Paperback
The Intelligent Investor (English) Paperback – 2013;https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685/ref=zg_bs_books_4/257-3061504-2889532?pd_rd_i=0062312685&psc=1;Benjamin Graham;₹435.00;29,087;4.5 out of 5 stars;Paperback
Oswaal CBSE Term 2 Mathematics Standard Class 10 Sample Question Paper Book (For Term-2 2022 Exam);https://www.amazon.in/Oswaal-Mathematics-Standard-Sample-Question/dp/9354639135/ref=zg_bs_books_5/257-3061504-2889532?pd_rd_i=9354639135&psc=1;Oswaal Editorial Board;₹127.00;131;4.4 out of 5 stars;Paperback
The Diary of a Young Girl;https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8172345194/ref=zg_bs_books_6/257-3061504-2889532?pd_rd_i=8172345194&psc=1;Anne Frank;₹99.00;16,676;4.6 out of 5 stars;Paperback
Blossom Moral Story Book for Kids 1 Years to 10 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best Bedtime Children Story Book | Short Stories for Infants, Toddlers | Book A;https://www.amazon.in/Blossom-English-Colourful-Pictures-Children/dp/B0845PS3QW/ref=zg_bs_books_7/257-3061504-2889532?pd_rd_i=B0845PS3QW&psc=1;not_available;₹68.00;1,560;4.4 out of 5 stars;Paperback
Deep Work: Rules for Focused Success in a Distracted World;https://www.amazon.in/Deep-Work-Focused-Success-Distracted/dp/0349413681/ref=zg_bs_books_8/257-3061504-2889532?pd_rd_i=0349413681&psc=1;Cal Newport;₹300.00;11,036;4.5 out of 5 stars;Paperback
Oxford English Mini Dictionary - Indian Edition;https://www.amazon.in/Oxford-English-Mini-Dictionary-Indian/dp/0198075553/ref=zg_bs_books_9/257-3061504-2889532?pd_rd_i=0198075553&psc=1;not_available;₹131.00;3,172;4.4 out of 5 stars;Flexibound
Oswaal NEET (UG) 16 Years' Solved Papers 2006-2021, Physics, Chemistry & Biology (For 2022 Exam);https://www.amazon.in/Oswaal-2006-2021-Physics-Chemistry-Biology/dp/9355953364/ref=zg_bs_books_10/257-3061504-2889532?pd_rd_i=9355953364&psc=1;Oswaal Editorial Board;₹699.00;50;4.7 out of 5 stars;Paperback
Oswaal CBSE Term 2 English Science Social Science & Math Standard Class 10 Sample Question Paper (Set of 4 Books) (For Term-2 2022 Exam) Free Access Code For Oswaal 360;https://www.amazon.in/Oswaal-English-Science-Standard-Question/dp/9354639941/ref=zg_bs_books_11/257-3061504-2889532?pd_rd_i=9354639941&psc=1;not_available;₹415.00;566;4.6 out of 5 stars;Product Bundle
Spoken English Course (Telugu);https://www.amazon.in/Spoken-English-Course-Telugu-Vashista/dp/B08W1SNNLP/ref=zg_bs_books_12/257-3061504-2889532?pd_rd_i=B08W1SNNLP&psc=1;not_available;₹294.00;5,228;4.2 out of 5 stars;Paperback
The Blue Umbrella;https://www.amazon.in/Blue-Umbrella-Ruskin-Bond/dp/8171673406/ref=zg_bs_books_13/257-3061504-2889532?pd_rd_i=8171673406&psc=1;Ruskin Bond;₹95.00;11,006;4.5 out of 5 stars;Paperback
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time;https://www.amazon.in/Eat-That-Frog-Great-Procrastinating/dp/152309513X/ref=zg_bs_books_14/257-3061504-2889532?pd_rd_i=152309513X&psc=1;Brian Tracy;₹172.00;5,392;4.6 out of 5 stars;Paperback
The 5 AM Club: Own Your Morning, Elevate Your Life;https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891/ref=zg_bs_books_15/257-3061504-2889532?pd_rd_i=9387944891&psc=1;Robin Sharma;₹257.00;18,821;4.5 out of 5 stars;Paperback
The Constitution of India (Coat Pocket Edition) 2022;https://www.amazon.in/Constitution-India-Coat-Pocket-2020/dp/9389656257/ref=zg_bs_books_16/257-3061504-2889532?pd_rd_i=9389656257&psc=1;not_available;₹640.00;100;4.7 out of 5 stars;Flexibound
The Power of A Positive Attitude: Your Road To Success;https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_books_17/257-3061504-2889532?pd_rd_i=9389432642&psc=1;Roger Fritz;₹99.00;1,780;4.4 out of 5 stars;Paperback
The Power of Your Subconscious Mind;https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_books_18/257-3061504-2889532?pd_rd_i=8172345666&psc=1;Joseph Murphy;₹105.00;51,869;4.5 out of 5 stars;Paperback
GIKSO 100 Maths Puzzles Book - Brain Boosting Mathematical Activities for Age 7+ Years Old Kids | Game Book (English) - Reprinted 2021;https://www.amazon.in/GIKSO-100-Maths-Puzzles-Book/dp/8193864999/ref=zg_bs_books_19/257-3061504-2889532?pd_rd_i=8193864999&psc=1;not_available;₹179.00;2,220;4.3 out of 5 stars;Paperback
Price Action Trading : Technical Analysis Simplified!;https://www.amazon.in/Price-Action-Trading-Technical-Simplified/dp/8195261612/ref=zg_bs_books_20/257-3061504-2889532?pd_rd_i=8195261612&psc=1;not_available;₹310.00;473;4.3 out of 5 stars;Paperback
CBSE All In One English Language & Literature Class 10 2022-23 Edition;https://www.amazon.in/English-Language-Literature-Class-2022-23/dp/B09RMZT7B8/ref=zg_bs_books_21/257-3061504-2889532?pd_rd_i=B09RMZT7B8&psc=1;not_available;₹494.00;15;4.3 out of 5 stars;Paperback
Think and Grow Rich;https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8194790883/ref=zg_bs_books_22/257-3061504-2889532?pd_rd_i=8194790883&psc=1;Napoleon Hill;₹99.00;65,244;4.5 out of 5 stars;Paperback
